Bulan,Suhu,DPM Rata-rata,DPM Maksimum,DPM Minimum
 09 2017,24.44,39220.752,40333.68,30270.49
 10 2017,25.62903226,39267.22548,41840.21,8771.48
 11 2017,25.59,26582.83167,41460.58,3083.61
 12 2017,25.0516129,30656.97839,41369.46,2773.33
 01 2018,24.87419355,28621.78516,39600,6828.36
 02 2018,24.39285714,31041.75,41206.98,3470.96
 03 2018,24.7,35581.96452,40441.09,14091.84
 04 2018,25.42,38818.98467,39666.97,31180.81
 05 2018,25.60645161,39078.83613,39600,36000
 06 2018,24.61333333,38635.61567,39488.32,18894.6
 07 2018,23.07419355,39087.93419,39439.17,30816.21
 08 2018,22.87096774,39575.36516,39600,39452.55
 09 2018,23.50333333,39393.74033,40535.59,34613.79
 10 2018,24.73870968,41132.84484,41850.64,39916.23
 11 2018,25.63666667,37556.706,41913.24,150.28
 12 2018,25.31290323,30882.36903,41001.25,3724.09
 01 2019,24.79677419,29553.64677,40429.62,440.64
 02 2019,24.91071429,34007.8175,41324.53,19758.01
 03 2019,24.75483871,29833.27419,40135.92,2093.34
 04 2019,25.31666667,35296.62667,39600,8602.23
 05 2019,25.00967742,39035.32484,39600,28861.19
 06 2019,23.81333333,39344.72633,39490.21,37435.39
 07 2019,22.8516129,38772.67484,39435.7,25165.13
 08 2019,23.14516129,39573.39226,39600,39448.44
 09 2019,23.39,39862.32133,40734.89,39600
 10 2019,24.07741935,41256.24323,41845.27,39914.05
 11 2019,25.48666667,41409.373,41925.66,36064.35
 12 2019,25.40967742,36138.29419,41740.17,20817.26
 01 2020,25.18709677,32237.59452,41087.97,1760.53
 02 2020,24.93103448,30890.30483,41626.95,11353.41
 03 2020,25.28387097,32981.36323,40344.39,1297.51
 04 2020,25.56,33157.20567,39600,8282.96
 05 2020,25.94516129,34847.77968,39600,9862.59
 06 2020,24.59333333,38176.96267,39487.73,14959.44
 07 2020,23.83870968,38990.50226,39443.23,32574.68
 08 2020,24.13548387,38710.85548,39600,23100.62
 09 2020,24.78666667,39840.768,40537.97,38462.21
 10 2020,25.21290323,36938.14387,41829.05,8759.39
 11 2020,25.56,34483.83633,41924.84,9479.92
 12 2020,24.59354839,26620.31645,41255.12,9501.35
 01 2021,24.58064516,24849.53226,38780.58,3907.67
 02 2021,24.30357143,30245.40786,41301.66,12458.56
 03 2021,24.63870968,35505.70226,40129.98,13791.19
 04 2021,24.72333333,36533.46267,39624.74,9597.54
 05 2021,25.57741935,38670.23774,39600,27839.95
 06 2021,25.27,37347.74333,39485.81,23555.74
 07 2021,23.9,38564.42516,39440.97,27519.59
 08 2021,24.31612903,39576.48258,39600,39454.64
 09 2021,24.70333333,37798.06367,40631.14,19030.47
 10 2021,24.82903226,39729.52323,41765.93,25200
 11 2021,24.78666667,26222.58,40067.26,8352.08
 12 2021,24.67741935,30044.91419,41231.07,9778.52
 01 2022,24.27419355,31885.33935,41588.44,17718.88
 02 2022,24.15357143,29594.46036,41194.21,1411.37
 03 2022,24.6516129,33850.01677,40217.32,21808.4
 04 2022,24.85666667,36001.107,39609.8,18599.73
 05 2022,25.39354839,33345.51194,39600,11203.4
 06 2022,24.55333333,37063.56733,39480.16,26212.64
 07 2022,24.36451613,38160.63032,39438.31,22386.63
 08 2022,24.26774194,39134.01677,39600,30387.34
 09 2022,24.42666667,38654.12733,40531.09,22284.2
 10 2022,24.41290323,33269.27613,41811.9,8002.03
 11 2022,24.48,28758.85167,41887.67,11043.63
 12 2022,24.33225806,29552.99903,41675.66,0
 01 2023,24.34193548,33083.85355,41414.38,17915.9
 02 2023,24.33571429,27483.65357,40834.11,7137.34
 03 2023,24.21290323,34498.39032,40629.89,10322.59
 04 2023,25,32831.20467,39600,8149.08
 05 2023,24.96451613,36736.41355,39600,12588.94
 06 2023,24.69666667,39414.79467,39488.16,38483.27
 07 2023,22.92903226,38119.90419,39435.15,5784.19
 08 2023,23.06451613,39573.28871,39600,39447.88
 09 2023,22.89,39916.97467,40535.21,39600
 10 2023,24.64516129,41357.92516,41844.29,40547.02
 11 2023,25.23666667,39938.59633,41925.51,22900.47
 12 2023,24.76129032,37260.97161,41573.47,16489.16
 01 2024,24.51935484,31881.84323,41562.51,12570.36
 02 2024,24.60689655,32914.68,41180.48,18666.12
 03 2024,24.68064516,31035.64903,40122.68,2014.63
 04 2024,25.45,33428.91667,39604.1,10163.17
 05 2024,25.06129032,39342.95677,39600,35976.7
 06 2024,24.55666667,39058.548,39486.56,30060.03
 07 2024,22.92258065,38516.42968,39443.21,24236.39
 08 2024,22.6,39378.62,39600,33441.17
 09 2024,24.08666667,39591.822,40638.69,36725.52
 10 2024,24.71612903,40865.36742,41843.16,35560.43
 11 2024,25.33,38330.08567,41922.84,20874.32
 12 2024,24.99677419,26489.2229,40840.82,7215.88
 01 2025,24.48709677,27182.62806,39600,555.89
 02 2025,24.46071429,35262.12,41519.75,12301.87
 03 2025,24.95483871,33148.25742,41275.54,18045.26
 04 2025,24.76333333,35864.139,39617.05,23049.29
 05 2025,25.3516129,33211.00806,39594.77,18897.02
 06 2025,25.09,36222.82367,39486.35,2810.59
